Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE DURING MAY, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
161,PARDESH EXPORTS PVT LTD,HongKong,Oracle Investments Limited,NEW DELHI,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live",5.21,0.08,
162,EARTHRISE DIAL4PRICE SERVICES PVT LTD,HongKong,TONG CHAN KIT,BANGALORE,Other educational services n.e.c.,1.54,0.02,
163,SIMPLEX TMC PRIVATE LIMITED,HongKong,KYROS RESOURCES LIMITED,BANGALORE,Other business support service activities n.e.c.,14.92,0.23,
164,CLYP VIDEO PRIVATE LIMITED,HongKong,WINIGER ARIEL WERNER,BANGALORE,Motion picture distribution,0.63,0.01,
165,SUBARNA INDUSTRIES & PROJECTS PVT LTD,HongKong,MEPC INDUSTRY INVESTMENT LTD,KOLKATA,Other specialized construction activities,32.24,0.51,
166,ENHANCESYS INNOVATIONS PRIVATE LIMITED (,HongKong,HI TECH TONIC PTE LTD,NEW DELHI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",13.85,0.22,
167,ORCHESTRA BUYING AND RETAIL,HongKong,ORCHESTRA ASIA LTD,NEW DELHI,"Activities of commission agents, brokers dealing in wholesale trade",0.50,0.01,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,INDIA PRIVAT,,,,"of agricultural raw material, live",,,
168,ORCHESTRA BUYING AND RETAIL INDIA PRIVAT,HongKong,MEI PO REBECCA CHOW,NEW DELHI,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live",0.00,0.00,
169,INMACS MANAGEMENT SERVICES LTD,HongKong,AQUATECH HK PVT LTD,NEW DELHI,Management consultancy activities,5.34,0.08,
170,MOGUL EXIM TRADING PRIVATE LIMITED,HongKong,Mogul Nasir Abdullah,NEW DELHI,"Wholesale of edible oils, fats, sugar and processed/manufactured spices etc.",0.10,0.00,
171,SUPERWAYS ENTERPRISES PVT LTD,HongKong,ROHIT RAZDAN AND GUNJAN RAZDAN,MUMBAI,Wholesale of metals and metal ores,0.03,0.00,
172,KILPATRICK EXECUTIVE SEARCH INDIA  PRIVA,HongKong,Kilpatrick International Group Limited,NEW DELHI,Human resources provision and management of human resources functions,2.47,0.04,
173,YATISH HOTELS AND RESORTS PRIVATE LIMITE,HongKong,AASHISH DANGAYACH,JAIPUR,Restaurants without bars,26.26,0.41,
174,ALIBABA.COM INDIA (EASY BUSINESS INDIA),HongKong,Alibaba.Com Singapore E-Commerce Private,MUMBAI,Web hosting activities,1.84,0.03,
175,ALIBABA.COM INDIA (EASY BUSINESS INDIA),HongKong,Alibaba.Com Singapore E-Commerce Private,MUMBAI,Web hosting activities,7.36,0.12,
176,M/S M. MOSER DESIGN & ARCHITECTURE INDIA,HongKong,MAN KEUNG JOSEPH,NEW DELHI,Architectural and engineering activities and related technical consultancy,22.00,0.34,
177,CREDI HEALTH PRIVATE LIMITED,HongKong,HAUSELA HOLDINGS PTE LTD,NEW DELHI,Other human health activities n.e.c. (including independent ambulance activities),0.73,0.01,
178,CIC VISION INDIA PVT LTD,Indonesia,RICO HARTONO,NEW DELHI,Other service activities related to printing n.e.c.,2.63,0.04,
179,INDUSTRIAL INFO RESEARCH INDIA PRIVATE L,Ireland,INDUSTRIAL INFO RESOURCES EUROPE LTD,NEW DELHI,Data processing activities including report writing,2.50,0.04,
180,INDUSTRIAL INFO RESEARCH INDIA PRIVATE L,Ireland,INDUSTRIAL INFO RESOURCES EUROPE LTD,NEW DELHI,Data processing activities including report writing,18.50,0.29,
181,MORGAN MCKINLEY SERVICES PRIVATE LTD,Ireland,MICHAEL AUGUSTINE HINCHION,CHENNAI,Data processing activities including report writing,0.42,0.01,
182,MORGAN MCKINLEY SERVICES PRIVATE LTD,Ireland,BRIAN PATRICK MURPHY,CHENNAI,Data processing activities including report writing,0.42,0.01,
183,FELIX GENERICS PRIVATE LIMITED,Ireland,Felix Pharmaceuticals Pvt Limited,NEW DELHI,Manufacture of veterinary preparations,93.39,1.46,
184,MORGAN MCKINLEY SERVICES PRIVATE LTD,Ireland,PATRICK JOSEPH FITZGERALD,CHENNAI,Data processing activities including report writing,0.42,0.01,
185,ELBIT SATCOM OF INDIA PRIVATE LIMITED,Israel,ELBIT SYSTEMS LAND AND C41 LIMITED,NEW DELHI,Other business support service activities n.e.c.,0.48,0.01,
186,ELBIT SATCOM OF INDIA PRIVATE LIMITED,Israel,ELBIT SYSTEMS LIMITED,NEW DELHI,Other business support service activities n.e.c.,0.02,0.00,
187,AIO SOLUTIONS IMPLEMENTATION INDIA PRIVA,Israel,AIO AD SYSTEMS LTD.,NEW DELHI,Activities of other wireless telecommunications activities,0.92,0.01,
188,ISRAEL AEROSPACE INDIA PVT.LTD.,Israel,Israel Aerospace Industries ltd,NEW DELHI,Technical testing and analysis,32.43,0.51,
189,CRIF SOLUTIONS PVT LTD,Italy,CRIF SPA,MUMBAI,Activities of collection agencies and credit bureaus,16.24,0.25,
190,CRIF SOLUTIONS PVT LTD,Italy,CRIF SERVICES SPA,MUMBAI,Activities of collection agencies and credit bureaus,0.16,0.00,
191,CAREMOLI INDUSTRY (INDIA) PRIVATE LIMITE,Italy,Andrea Caremoli,NEW DELHI,Other grain milling and processing n.e.c.,0.10,0.00,
192,SICMA INDIA PVT. LTD,Italy,ANVIA HOLDING S.R.L.,NEW DELHI,"Manufacture of ploughs, manure spreaders, seeders, harrows and similar agricultural machinery for soil",20.40,0.32,
193,SICMA INDIA PVT. LTD,Italy,SICMA S.P.A.,NEW DELHI,"Manufacture of ploughs, manure spreaders, seeders, harrows and similar agricultural machinery for soil",19.60,0.31,
194,OFI (INDIA) PRIVATE LIMITED,Italy,OFI Officina Farmaceutical Italiana SPA,NEW DELHI,"Wholesale of toiletry, perfumery and cosmetics",11.95,0.19,
195,MODI ILLVA INDIA PVT LTD,Italy,Illva Saronno Holding S.p.A,NEW DELHI,Wholesale of intoxicants like wines and liquors,9.00,0.14,
196,DECAL IN - ITALIAN GRAPHICS INDUSTRY PRI,Italy,FRANCESCA LONGHI,BANGALORE,Other printing activities like screen printing other than textile n.e.c.,0.72,0.01,
197,DORSOGNA SWEET INGREDIENTS PVT LTD,Italy,SIMEST S.P.A.,MUMBAI,"Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c.",37.25,0.58,
198,DORSOGNA SWEET INGREDIENTS PVT LTD,Italy,DORSOGNA DOLCIARIA SRL,MUMBAI,"Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c.",4.90,0.08,
199,DORSOGNA SWEET INGREDIENTS PVT LTD,Italy,DORSOGNA DOLCIARIA SRL,MUMBAI,"Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c.",8.82,0.14,
200,VERIPACK SOLUTIONS INDIA PVT LTD,Italy,FNC-Fabbrica Nazionale Cilindri S.P.A,MUMBAI,Manufacture of other special-purpose machinery n.e.c.,4.77,0.07,
201,WADHAWAN SPORTS PVT LTD,Italy,ACF FLORENTINA S.P.A.,MUMBAI,Activities of sports clubs,66.36,1.04,
202,ENJOY YOUR MEAL INDIA PVT LTD (EAR: AME,Italy,Carlo Bonazza,NEW DELHI,"Wholesale of confectionery, bakery products and beverages other than intoxicants",0.50,0.01,
203,ENJOY YOUR MEAL INDIA PVT LTD (EAR: AME,Italy,Luca Agosti,NEW DELHI,"Wholesale of confectionery, bakery products and beverages other than intoxicants",0.50,0.01,
204,ENJOY YOUR MEAL INDIA PVT LTD (EAR: AME,Italy,Massimiliano Altabella,NEW DELHI,"Wholesale of confectionery, bakery products and beverages other than intoxicants",0.50,0.01,
205,GARGI-RICCI TECHNOLOGIES (P) LTD.,Italy,BROLLO SIET S.R.L,BANGALORE,"Manufacture of electronic capacitors, resistors, chokes, coils, trasformers (electronic) and similar",2.42,0.04,
206,LAVIOSA TRIMEX INDUSTRIES PRIVATE LIMITE,Italy,LAVIOSA CHIMICA MINERARIA SPA,AHMEDABAD,"MINING OF CLAYS (KAOLIN, BALL CLAY, WOLLASTONITE, BENTONITE, FULLERS EARTH, FIRECLAY ETC. )",27.50,0.43,
207,SYSTEA ANALYTICAL TECHNOLOGIES PRIVATE L,Italy,Systea SPA,NEW DELHI,"Wholesale of scientific, medical and surgical machinery and equipment",2.02,0.03,
208,OFI (INDIA) PRIVATE LIMITED,Italy,"OFI OFFICINA
FARMACEUTICA  ITALIANA SPA",NEW DELHI,"Wholesale of toiletry, perfumery and cosmetics",11.95,0.19,
209,KRISHNA LANDI RENZO INDIA PVT.,Italy,Landi Renzo S.P.A,NEW DELHI,Manufacture of diverse parts and accessories for motor vehecles,14.28,0.22,
,,,,,,,,
,,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,LTD,,,,"sucs as brakes, gearboxes, axles, road",,,
210,DUCATI INDIA PRIVATE LIMITED,Italy,DUCATI MOTOR HOLDINGS SPA,NEW DELHI,"Wholesale and retail sale of new vehicles (passenger motor vehicles, ambulances, minibuses, jeeps, trucks,",10.00,0.16,
211,ZEGNA SOUTH ASIA PVT LTD,Italy,Ermenegildo Zegna Holdings S.P.A.,MUMBAI,Retail sale of leather goods and travel accessories of leather and leather substitutes,25.50,0.40,
212,DECAL IN - ITALIAN GRAPHICS INDUSTRY PRI,Italy,GABRIELE CATALINI,BANGALORE,Other printing activities like screen printing other than textile n.e.c.,1.45,0.02,
213,DECAL IN - ITALIAN GRAPHICS INDUSTRY PRI,Italy,GEA VECLI,BANGALORE,Other printing activities like screen printing other than textile n.e.c.,0.72,0.01,
214,DECAL IN - ITALIAN GRAPHICS INDUSTRY PRI,Italy,UGO CAPOBIANCO,BANGALORE,Other printing activities like screen printing other than textile n.e.c.,1.45,0.02,
215,DECAL IN - ITALIAN GRAPHICS INDUSTRY PRI,Italy,FRANCESCO DATTILO,BANGALORE,Other printing activities like screen printing other than textile n.e.c.,1.46,0.02,
216,DECAL IN - ITALIAN GRAPHICS INDUSTRY PRI,Italy,LUCA ROSSI,BANGALORE,Other printing activities like screen printing other than textile n.e.c.,1.40,0.02,
217,DECAL IN - ITALIAN GRAPHICS INDUSTRY PRI,Italy,FAUSTO MAZZALI,BANGALORE,Other printing activities like screen printing other than textile n.e.c.,1.41,0.02,
218,DECAL IN - ITALIAN GRAPHICS INDUSTRY PRI,Italy,LUCA ROSSI,BANGALORE,Other printing activities like screen printing other than textile n.e.c.,0.08,0.00,
219,GARGI-RICCI TECHNOLOGIES (P) LTD.,Italy,BROLLO SIET S.R.L,BANGALORE,"Manufacture of electronic capacitors, resistors, chokes, coils, trasformers (electronic) and similar",4.61,0.07,
220,NERI LIGHTING INDIA PVT LTD,Italy,NERI S.P.A,BANGALORE,"Wholesale of other machinery, equipment and supplies n.e.c. including computer-controlled machine tools",6.93,0.11,
221,CLIMAVENETA CLIMATE TECHNOLOGIES PRIVATE,Italy,CLIMAVENETA S.P.A,BANGALORE,Manufacture of other electrical equipment,18.76,0.29,
222,WALVOIL FLUID POWER (INDIA) PRIVATE LIMI,Italy,WALVOIL SPA,BANGALORE,"Manufacture of other pumps, compressors, taps and valves etc.",502.79,7.88,
223,ENJOY YOUR MEAL INDIA PVT LTD (EAR: AME,Italy,Alessandro Fichera,NEW DELHI,"Wholesale of confectionery, bakery products and beverages other than intoxicants",0.50,0.01,
224,AT INDIA AUTO PARTS PVT LTD,Japan,AISIN TAKAOKA CO LTD,BANGALORE,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",800.00,12.54,
225,TOYOTETSU INDIA AUTO PARTS PVT LTD,Japan,TOYODA IRON WORKS CO LTD,BANGALORE,"Manufacture of parts and accessories of bodies for motor vehicles such as safety belts, airbags, doors,",810.00,12.70,
226,ZUKEN INDIA PRIVATE LIMITED,Japan,ZUKEN INC,BANGALORE,Providing software support and maintenance to the clients,24.48,0.38,
227,TOKAI RUBBER AUTO-PARTS INDIA PRIVATE LI,Japan,SUMITOMO RIKO COMPANY LIMITED,BANGALORE,Manufacture of other rubber products n.e.c.,700.00,10.97,
228,LUPIN LTD.,Japan,TAKESHI DEGUCHI,MUMBAI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",1.33,0.02,
229,PUNE SHOLAPUR ROAD DEVELOPEMENT COMPANY,Japan,EAST NIPPON EXPRESSWAY CO LTD,MUMBAI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",208.00,3.26,
230,NIHON KOHNETSU INDIA PVT LTD,Japan,NIHON KOHNETSU INDUSTRIAL CO. LTD.,NEW DELHI,"Manufacture of industrial frameworks in metal (frameworks for blast furnaces, lifting and handling equipment",37.00,0.58,
231,NIHON KOHNETSU INDIA PVT LTD,Japan,NKT CO. LTD,NEW DELHI,"Manufacture of industrial frameworks in metal (frameworks for blast furnaces, lifting and handling equipment",11.00,0.17,
232,DAIDO D.M.S.INDIA PRIVATE LIMITED,Japan,Daido Steel Co. Ltd.,NEW DELHI,Machining; treatment and coating of metals,52.20,0.82,
233,NISSIN BRAKE INDIA PVT LTD,Japan,nissin Kogyo Co. Ltd.,NEW DELHI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",150.00,2.35,
234,NISSIN BRAKE INDIA PVT LTD,Japan,m/s Nissin Brake India Pvt. Ltd,NEW DELHI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",250.00,3.92,
235,MITSUBISHI ELEVATOR ETA INDIA PVT LTD,Japan,MITSUBUSHI ELECTRIC CORPN,CHENNAI,"Manufacture of lifts, escalators and moving walkways",2.47,0.04,
236,SHIROKI TECHNICO INDIA PRIVATE LIMITED,Japan,SHIROKI CORPORATION,NEW DELHI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",195.66,3.07,
237,SHIROKI TECHNICO INDIA PRIVATE LIMITED,Japan,SHIROKI CORPORATION,NEW DELHI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",450.00,7.05,
238,AICA LAMINATES INDIA PVT LTD,Japan,ITOCHU CORPORATION,NEW DELHI,Other non-specialised wholesale trade n.e.c.,49.98,0.78,
239,SANYO DENKI INDIA PRIVATE LIMITED,Japan,SANYO DENKI CO.LTD,CHENNAI,"Manufacture of electric power distribution transformers, arc- welding transformers, fluorescent ballasts,",29.00,0.45,
240,KOHYEI TRADING (INDIA) PVT LTD,Japan,kohyei trading co ltd,CHENNAI,"Manufacture of plastic in primary forms (includes amino-resins, polyurethanes etc.)",3.00,0.05,
241,FUJIKURA KASEI COATING INDIA PVT LTD,Japan,FUJIKURA KASEI CO. LTD,NEW DELHI,"Wholesale of paints, varnishes, and lacquers",40.00,0.63,
242,MANESAR STEEL PROCESSING (I) PVT LTD,Japan,JFE SHOJI TRADE CORPORATION,NEW DELHI,Machining; treatment and coating of metals,6.46,0.10,
243,DAIDO D.M.S.INDIA PRIVATE LIMITED,Japan,DAIDO DIE &MOLD SOLUTION CO. LIMITED,NEW DELHI,Machining; treatment and coating of metals,91.80,1.44,
244,NISSIN BRAKE INDIA PVT LTD,Japan,Nissin Kogyo Company Ltd.,NEW DELHI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",240.00,3.76,
245,I.I. INSPECTION & EXPORT PVT LTD,Japan,I.I.I. Co. Ltd.,NEW DELHI,Manufacture of all types of textile garments and clothing accessories,3.71,0.06,
246,MITSUBISHI ELEVATOR ETA INDIA PVT LTD,Japan,MITSUBUSHI CORPN,CHENNAI,"Manufacture of lifts, escalators and moving walkways",0.62,0.01,
247,MITSUBISHI ELEVATOR ETA INDIA PVT LTD,Japan,MITSUBUSHI ELECTRIC BLDG TECHNO SERVICE,CHENNAI,"Manufacture of lifts, escalators and moving walkways",0.31,0.00,
248,MITSUBISHI ELEVATOR ETA INDIA PVT LTD,Japan,ETA ASCON HOLDING LLC,CHENNAI,"Manufacture of lifts, escalators and moving walkways",2.78,0.04,
249,PLANTEC GB ENGINEERING PRIVATE LTD,Japan,PLANTEC INC,CHENNAI,Treatment and disposal of non-hazardous waste,5.00,0.08,
,,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
250,SANKO SEKISUI JRG TOOLING INDIA PVT LTD,Japan,SANKO GOSEI LTD,NEW DELHI,"Manufacture of machine tools for turning, drilling, milling, shaping, planning, boring, grinding etc",25.00,0.39,
251,SANKO SEKISUI JRG TOOLING INDIA PVT LTD,Japan,SEKISUI MACHINERY CO LTD,NEW DELHI,"Manufacture of machine tools for turning, drilling, milling, shaping, planning, boring, grinding etc",15.00,0.24,
252,M/S INTAGE INDIA PVT LTD,Japan,INTAGE HOLDINGS INC.,NEW DELHI,Market research and public opinion polling,47.00,0.74,
253,TORAY KUSUMGAR ADVANCED TEXTILE PRIVATE,Japan,"TORAY INDUSTRIES, INC.",AHMEDABAD,Manufacture of synthetic or artificial filament tow,560.71,8.79,
254,ETAS AUTOMOTIVE INDIA PRIVATE LIMITED,Japan,ETAS K.K,BANGALORE,Wholesale of software,0.00,0.00,
255,HI-LEX INDIA PRIVATE LIMITED,Japan,HI-LEX CORPORATION (EAR: NIPPON CABLE SY,NEW DELHI,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",300.00,4.70,
256,HI-LEX INDIA PRIVATE LIMITED,Japan,hi-lex corporation (ear: nippon cable sy,NEW DELHI,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",700.00,10.97,
257,M/S SP LIVE INDIA PVT LTD,Japan,SP Ring Tokyo Chuo-ku,NEW DELHI,Management consultancy activities,1.53,0.02,
258,HATCHERY SOFTWARE PRIVATE LIMITED,Japan,DENA CO LTD,BANGALORE,Other information technology and computer service activities n.e.c,4.17,0.07,
259,TMEIC POWER ELECTRONICS SYSTEMS INDIA PV,Japan,TOSHIBA MITSUBISHI ELECTRIC INDUSTRIAL S,BANGALORE,"Manufacture of power generators (except battery charging alternators for internal combustion engines),",950.00,14.89,
260,YUSHIRO INDIA COMPANY (P) LTD.,Japan,YUSHIRO CHEMICAL INDUSTRY COMPANY LIMITE,NEW DELHI,Manufacture of other structural metal products,183.66,2.88,
261,MIPOX ABRASIVES INDIA PRIVATE LIMITED,Japan,MIPOX CORPORATION,BANGALORE,Machining; treatment and coating of metals,25.00,0.39,
262,M/S NAGOMI CONSULTING PVT LTD,Japan,yanagi kuniaki,NEW DELHI,Management consultancy activities,1.90,0.03,
263,M/S NAGOMI CONSULTING PVT LTD,Japan,Yanagi Kuniaki,NEW DELHI,Management consultancy activities,1.22,0.02,
264,AIR WATER INDIA PVT.LIMITED,Japan,AIR WATER INC.,KOLKATA,"Manufacture of liquefied or compressed inorganic industrial or medical gases (elemental gases, liquid",85.50,1.34,
265,DMW INDIA PVT LTD,Japan,DMW CORPORATION,MUMBAI,Manufacture of fluid power equipment,5.15,0.08,
266,IKURE TECHSOFT PVT. LTD.,Japan,Arun LLC,KOLKATA,Other human health activities n.e.c. (including independent ambulance activities),1.52,0.02,
267,Y-TEC INDIA PVT LTD,Japan,YAMASHITA RUBBER CO LTD,NEW DELHI,"Manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses and profile -shapes etc.",80.00,1.25,
268,Y-TEC INDIA PVT LTD,Japan,YAMASHITA RUBBER CO LTD,NEW DELHI,"Manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses and profile -shapes etc.",210.00,3.29,
269,Y-TEC INDIA PVT LTD,Japan,YAMASHITA RUBBER CO LTD,NEW DELHI,"Manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses and profile -shapes etc.",100.00,1.57,
270,Y-TEC INDIA PVT LTD,Japan,YAMASHITA RUBBER CO LTD,NEW DELHI,"Manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses and profile -shapes etc.",130.00,2.04,
271,M/S NIPPON CARBIDE INDIA PVT LTD,Japan,Nippon Carbide Industries Co Inc,NEW DELHI,Manufacture of other special purpose paper (excluding computer stationary),150.00,2.35,
272,M/S ZERO PLUS INDIA PVT LTD,Japan,Apia CO. Ltd.,NEW DELHI,Washing and (dry-) cleaning of textile and fur products,0.51,0.01,
273,IAE GLOBAL INDIA EDUNET PRIVATE LIMITED,Japan,IAE Holdings Inc.,NEW DELHI,Educational support services,9.32,0.15,
274,NHK AUTOMOTIVE COMPONENTS INDIA PVT LTD,Japan,NHK Spring Co. Ltd,NEW DELHI,Manufacture of motor vehicles n.e.c.,"1,997.50",31.31,
275,DMW INDIA PVT LTD,Japan,DENGYOSHA CONSTRUCTION CO.TD.,MUMBAI,Manufacture of fluid power equipment,0.05,0.00,
276,NIPPON STEEL & SUMIKIN PIPE INDIA PVT LT,Japan,M/S. NIPPON STEEL & SUMIKIN PIPE CO.LTD.,JAIPUR,Manufacture of other fabricated metal products n.e.c.,950.00,14.89,
277,AIR WATER INDIA PVT.LIMITED,Japan,AIR WATER PLANT AND ENGINEERING INC.,KOLKATA,"Manufacture of liquefied or compressed inorganic industrial or medical gases (elemental gases, liquid",4.50,0.07,
278,INDIA BUSINESS INFORMATION PRIVATE LIMIT,Japan,NOZOMI SATO,NEW DELHI,Management consultancy activities,0.35,0.01,
279,INDIA BUSINESS INFORMATION PRIVATE LIMIT,Japan,NOZOMI SATO,NEW DELHI,Management consultancy activities,0.10,0.00,
280,ETOOS ACADEMY PVT LTD,South Korea,ETOOS EDUCATION COMPANY LIMITED,NEW DELHI,Other educational services n.e.c.,11.19,0.18,
281,ETOOS ACADEMY PVT LTD,South Korea,ETOOS EDUCATION COMPANY LIMITED,NEW DELHI,Other educational services n.e.c.,11.04,0.17,
282,ETOOS ACADEMY PVT LTD,South Korea,ETOOS EDUCATION COMPANY LIMITED,NEW DELHI,Other educational services n.e.c.,5.59,0.09,
283,ERAE ENGINEERING PVT LTD,South Korea,Younjong Kim,MUMBAI,"Manufacture of other general purpose machinery n.e.c. ( fans intended for industrial applications, exhaust",0.69,0.01,
