Table No. 19 (c),,,,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS
UNDER RBI’s AUTOMATIC ROUTE
135,ALFA BIOMED INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its",ADNA Global Ltd,Mauritius,114.97,1.56,Received in the Company,
136,ALFA BIOMED INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium
derivatives; sulpha",ADNA Global Ltd,Mauritius,88.83,1.21,Received in the Company,
,,,,"drugs; serums and plasmas; salicylic acid, its",,,,,,
137,ALFA BIOMED INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic
acid, its",ADNA Global Ltd,Mauritius,98.15,1.34,Received in the Company,
138,ALFA BIOMED INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic
acid, its",ADNA Global Ltd,Mauritius,44.91,0.61,Received in the Company,
139,ALFELDER KUNSTSTOFFWERKE PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Other non- specialised wholesale trade
n.e.c.",Alfelder Kunststoffwerke Herm. Meyer GmbH,Germany,1.02,0.01,Received in the Company,
140,ALFELDER KUNSTSTOFFWERKE PRIVATE LIMITED,MAHARASHT RA,Mumbai,Other non- specialised wholesale trade n.e.c.,Alfelder Kunststoffwerke Herm. Meyer GmbH,Germany,0.88,0.01,Received in the Company,
141,ALG India Enterprises Private Limited,TAMIL NADU,Kanchipuram,"Gathering of other marine organisms and materials such as natural pearls,
sponges, coral and algae",HANS IRESTAHL TRADING AB,Sweden,66.00,0.90,Received in the Company,
142,Algonox Technologies Private Limited,TELANGANA,K.V.Rangareddy,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",GAPD LLC,U.S.A,3.65,0.05,Received in the Company,
143,ALJOMAIH ENERGY AND WATER INDIA PRIVATE LIMITED,DELHI,Central Delhi,Electric power generation using,Aljomaih Energy And Water Co.,Saudi Arabia,10.00,0.14,Received in the,
,,,,solar energy,,,,,Company,
144,ALJOMAIH ENERGY AND WATER INDIA PRIVATE LIMITED,DELHI,Central Delhi,"Electric power generation using
solar energy",Aljomaih Energy And Water Co.,Saudi Arabia,1.50,0.02,"Received in the
Company",
145,ALLSEEDS INDIA PRIVATE LIMITED,MAHARASHT RA,Mumbai,Wholesale of oilseed oleaginous fruits,ALLSEEDS SWITZERLAND SA,Switzerland,0.10,0.00,Received in the Company,
146,ALLTEMP SUSTAINABLE REFRIGERANTS INDIA PRIVATE LIMITED,DELHI,North West Delhi,Manufacture of other domestic appliances n.e.c.,Vikasa Holdings LLC,U.S.A,0.22,0.00,Received in the Company,
147,ALOHA MENTAL ARITHMETIC PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,"Technical and vocational education below the level of higher education except for
handicapped",Loh Mun Sung,Malaysia,0.05,0.00,Received in the Company,
148,ALOHA MENTAL ARITHMETIC PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,"Technical and vocational education below the level of higher education except for
handicapped",Kiran Kamal Motwani Shivdasani,Spain,0.05,0.00,Received in the Company,
149,Alpha Ascension Safety Consultants (India) Pvt Ltd,KARNATAKA,Bengaluru,Firefighting and fire- prevention services at airports,Cletus Majella Packiam John,Singapore,0.05,0.00,Received in the Company,
150,ALPHATION AUTO PRIVATE LIMITED,KARNATAKA,Bengaluru,Maintenance and repair of motor vehicles,ASIF MERCHANT,U.S.A,3.63,0.05,Received in the Company,
151,ALPHATUB INNOVATIONS PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Pre-primary education (education
preceding the first level)",PUNEET KALIA,U.S.A,3.60,0.05,Received in the Company,
152,ALTERNAFOSS ENERGY PRIVATE LIMITED,MAHARASHT RA,Pune,"Production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products from crude
petroleum or bituminous minerals",SAMEER ABDUL SATTAR MUHEEM AL BALOSHI,Oman,0.48,0.01,Received in the Company,
153,ALTIGREEN PROPULSION LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Technical testing and analysis,Surendra Saboo and Shakuntala Saboo,U.S.A,7.15,0.10,Received in the Company,
154,Altra Xergi Power Private Limited,Rajasthan,Jaisalmer,"Electric power
generation using solar energy",O2 Power SG Pte. Ltd.,Singapore,110.00,1.50,Greenfield,
155,Altum Properties Private Limited,KARNATAKA,Bengaluru,Other specialized,Aequs Infrastructures Private,Mauritius,1.50,0.02,Received in,
,,,,construction activities,Limited,,,,the Company,
156,Amanthin Info Parks Private Limited,MAHARASHT RA,Mumbai,"Other data processing, hosting and related activities n.e.c.",Amanthin Info Parks Holdings Pte. Ltd.,Singapore,250.00,3.41,Received in the Company,
157,Amanthin Info Parks Private Limited,MAHARASHT RA,Mumbai,"Other data processing, hosting and related activities
n.e.c.",Amanthin Info Parks Holdings Pte. Ltd.,Singapore,"2,875.00",39.08,Received in the Company,
158,Amazon Data Services India Private Limited,DELHI,South Delhi,Data processing activities including report writing,"A100 ROW, Inc.",U.S.A,"1,117.00",15.25,Received in the Company,
159,Amazon Data Services India Private Limited,DELHI,South Delhi,"Data processing activities including
report writing","A100 ROW, Inc.",U.S.A,"10,000.00",136.49,"Received in the
Company",
160,Amazon Data Services India Private Limited,DELHI,South Delhi,"Data processing
activities including report writing","Amazon.com, Inc.",U.S.A,183.00,2.50,"Received in
the Company",
161,Amazon Data Services India Private Limited,DELHI,South Delhi,Data processing activities including report writing,"A100 ROW, Inc.",U.S.A,"7,000.00",95.54,Received in the Company,
162,Amazon Pay (India) Private Limited,KARNATAKA,Bengaluru,"Activities auxiliary to financial service
activities n.e.c.",AMAZON.COM.INCS LIMITED,Mauritius,0.22,0.00,"Received in the
Company",
163,Amazon Pay (India) Private Limited,KARNATAKA,Bengaluru,Activities auxiliary to financial service activities n.e.c.,AMAZON CORPORATE HOLDINGS PRIVATE LIMITED,Singapore,"2,249.78",30.71,Received in the Company,
164,Amazon Seller Services Private Limited,KARNATAKA,Bengaluru,Wholesale of other electronic equipments and parts thereof,AMAZON CORPORATE HOLDINGS PRIVATE LIMITED,Singapore,"9,149.58",124.88,Received in the Company,
165,Amazon Seller Services Private Limited,KARNATAKA,Bengaluru,Wholesale of other electronic equipments and parts thereof,AMAZON.COM.INCS LIMITED,Mauritius,0.42,0.01,Received in the Company,
166,AMERICAN BREW CRAFTS PRIVATE LIMITED,TELANGANA,Hyderabad,Manufacture of beer,TBULL CORPORATION,U.S.A,4.44,0.06,"Received in
the Company",
167,AMERICAN BREW CRAFTS PRIVATE LIMITED,TELANGANA,Hyderabad,Manufacture of beer,TBULL CORPORATION,U.S.A,6.87,0.09,Received in the Company,
168,AMERJUNEIDI FOR FOOD INDUSTRIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Restaurants without bars,AMER HASHIM NOMAN ALJUNEIDI,Palestine,2.81,0.04,"Received in the
Company",
169,AMLOGIC INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and,"AMLOGIC (CA) CO., INC.",U.S.A,0.10,0.00,Received in the,
,,,,computer service activities n.e.c,,,,,Company,
170,AMMAN-TRY STEELS PVT LTD,TAMIL NADU,Tiruchirappalli,"Manufacture of steel in ingots or other primary forms, and
other semi-finished products of steel",KAIZEN CAPITAL INVESTMENTS SPC FORMERLY KNOWN AS M/S YNI FIN CAPITAL INVESTMENTS SPC,Cayman Islands,7.13,0.10,Received in the Company,
171,AMMAN-TRY STEELS PVT LTD,TAMIL NADU,Tiruchirappalli,"Manufacture of steel in ingots or other primary forms, and other semi-finished products of steel",KAIZEN CAPITAL INVESTMENTS SPC FORMERLY KNOWN AS M/S YNI FIN CAPITAL INVESTMENTS SPC,Cayman Islands,2.90,0.04,Received in the Company,
172,AMMAN-TRY STEELS PVT LTD,TAMIL NADU,Tiruchirappalli,"Manufacture of steel in ingots or other primary forms, and other semi-finished products of steel",KAIZEN CAPITAL INVESTMENTS SPC FORMERLY KNOWN AS M/S YNI FIN CAPITAL INVESTMENTS SPC,Cayman Islands,5.35,0.07,Received in the Company,
173,AMMAN-TRY STEELS PVT LTD,TAMIL NADU,Tiruchirappalli,"Manufacture of steel in ingots or other primary forms, and
other semi-finished products of steel",KAIZEN CAPITAL INVESTMENTS SPC FORMERLY KNOWN AS M/S YNI FIN CAPITAL INVESTMENTS SPC,Cayman Islands,7.15,0.10,Received in the Company,
174,AMPLIZ PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information service activities n.e.c.,CHAMPIONS GROUP PTE. LTD.,Singapore,0.09,0.00,Received in the Company,
175,AMPLUS KN ONE POWER PRIVATE LIMITED,DELHI,South Delhi,"Installation of
industrial machinery and equipment",Amplus Energy Solutions Pte. Ltd,Singapore,41.51,0.56,"Received in
the Company",
176,AMPLUS MANAGEMENT SERVICES PRIVATE LIMITED,DELHI,South Delhi,Management consultancy activities,Amplus Energy Solutions Pte. Ltd,Singapore,125.66,1.69,Received in the Company,
177,Amplus Shams Private Limited,DELHI,South Delhi,"Electric power generation using
solar energy",Amplus Energy Solutions Pte. Ltd.,Singapore,105.62,1.42,"Received in the
Company",
178,Amplus Shams Private Limited,DELHI,South Delhi,Electric power generation using solar energy,Amplus Energy Solutions Pte. Ltd.,Singapore,66.77,0.91,Received in the Company,
179,AMPLUS SOLAR POWER PRIVATE LIMITED,DELHI,South Delhi,Electric power generation using solar energy,Amplus Energy Solutions Pte. Ltd.,Singapore,7.29,0.10,Received in the Company,
180,AMPYR ENERGY TECH SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,Electric power generation using solar energy,Ampyr Developments Pte. Ltd.,Singapore,11.05,0.15,Received in the Company,
181,AMPYR ENERGY TECH SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,Electric power generation using solar energy,Ampyr Developments Pte Ltd,Singapore,7.15,0.10,Received in the Company,
182,AMPYR RENEWABLE ENERGY RESOURCES THREE PRIVATE,KARNATAKA,Bengaluru,Electric power generation using,Ampyr Developments Pte Ltd,Singapore,2.24,0.03,Received in the,
,LIMITED,,,solar energy,,,,,Company,
183,"AMPYR RENEWABLE ENERGY RESOURCES THREE PRIVATE
LIMITED",KARNATAKA,Bengaluru,"Electric power generation using
solar energy",Ampyr Developments Pte Ltd,Singapore,2.17,0.03,"Received in the
Company",
184,ANA OILS AND FATS INDIA PRIVATE LIMITED,WEST BENGAL,Kolkata,"Manufacture of other vegetable oil, animal oil and fats n.e.c",ANA International Pte Ltd,Singapore,73.28,1.00,Received in the Company,
185,ANA OLEO PRIVATE LIMITED,ANDHRA PRADESH,Nellore,"Manufacture of other vegetable oil, animal oil and fats n.e.c",ANA International Pte Ltd,Singapore,10.00,0.13,Greenfield,
186,ANA OLEO PRIVATE LIMITED,ANDHRA PRADESH,Nellore,"Manufacture of other
vegetable oil, animal oil and fats n.e.c",ANA International Pte Ltd,Singapore,253.79,3.41,Greenfield,
187,Anati Technologies Private Limited,MADHYA PRADESH,Bhopal,Other land transport services n.e.c,Manish Modi,UAE,8.02,0.11,Received in the Company,
188,ANGEL DWELLINGS PRIVATE LIMITED,UTTAR PRADESH,Lucknow,"Real estate activities with own or leased
property",Volante Maxim Ltd,Mauritius,208.78,2.85,"Received in the
Company",
189,ANGELANTONI TEST TECHNOLOGIES INDIA PRIVATE LIMITED,DELHI,South Delhi,Technical testing and analysis,ANGELANTONI TEST TECHNOLOGIES SRL,Italy,8.18,0.11,Received in the Company,
190,ANGELANTONI TEST TECHNOLOGIES INDIA PRIVATE LIMITED,DELHI,South Delhi,Technical testing and analysis,ANGELANTONI TEST TECHNOLOGIES SRL,Italy,11.25,0.15,Received in the Company,
191,Animall Technologies Private Limited,KARNATAKA,Bengaluru,"Other data processing, hosting and related activities n.e.c.","ROCKETSHIP.VC FUND II, L.P",U.S.A,139.90,1.88,Received in the Company,
192,Animall Technologies Private Limited,KARNATAKA,Bengaluru,"Other data processing, hosting and related activities
n.e.c.","ROCKETSHIP.VC PARALLEL FUND II, LP",U.S.A,6.11,0.08,Received in the Company,
193,ANIRIT URBAN AGROFOODS PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Growing of perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and
other spices and aromatic crops)",MIC International LLC,UAE,26.20,0.36,Received in the Company,
194,ANKASUMMOR FOODS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Wholesale of edible oils, fats, sugar and processed/manufact
ured spices etc.",Gyan Prakash Puri,Bahrain,0.50,0.01,Received in the Company,
195,ANKURA CONSULTING INDIA PRIVATE LIMITED,MAHARASHT RA,Mumbai,Management consultancy activities,Ankura Consulting (APAC) Pte. Ltd.,Singapore,0.00,0.00,Received in the Company,
196,ANKURA CONSULTING INDIA PRIVATE LIMITED,MAHARASHT RA,Mumbai,Management consultancy activities,Ankura Consulting (Europe) Limited,United Kingdom,0.10,0.00,Received in the Company,
197,ANNAPURNA FINANCE PRIVATE LIMITED,ODISHA,Khorda,"Other financial service activities, except insurance
and pension funding activities, n.e.c.",Nuveen Global Impact Fund India S A R L,Luxembour g,0.01,0.00,Received in the Company,
198,ANNAPURNA FINANCE PRIVATE LIMITED,ODISHA,Khorda,"Other financial service activities, except insurance and pension funding
activities, n.e.c.",Nuveen Global Impact Fund India S A R L,Luxembour g,"2,286.54",30.70,Received in the Company,
199,ANNULUS TECHNOLOGY PRIVATE LIMITED,JHARKHAND,Ranchi,Other information technology and computer service activities n.e.c,"Ekeekaran, Inc",U.S.A,7.13,0.10,Received in the Company,
200,ANORA INSTRUMENTATION PRIVATE LIMITED,TAMIL NADU,Chennai,Manufacture of other special-purpose machinery n.e.c.,ANORA HOLDING COMPANY LLC,U.S.A,8.84,0.12,Received in the Company,
201,ANORA INSTRUMENTATION PRIVATE LIMITED,TAMIL NADU,Chennai,Manufacture of other special-purpose machinery n.e.c.,Anora Holding Company LLC,U.S.A,1.00,0.01,Received in the Company,
202,ANSCHEM INDIA PRIVATE LIMITED,TELANGANA,Hyderabad,"MANUFACTURE OF CHEMICAL PRODUCTS OR PREPARATIONS OF A KIND USED IN THE TEXTILES, PAPER, LEATHER
AND LIKE INDUSTRIES",ABDULLAH ABDULAZIZ N ALSORAYAI,Saudi Arabia,1.60,0.02,Received in the Company,
203,ANSCHEM INDIA PRIVATE LIMITED,TELANGANA,Hyderabad,"MANUFACTURE OF CHEMICAL PRODUCTS OR PREPARATIONS OF A KIND USED IN THE TEXTILES, PAPER, LEATHER
AND LIKE INDUSTRIES",ABDULAZIZ NASSER ALSORYAI,Saudi Arabia,18.40,0.25,Received in the Company,
204,Ansell Sterile Solutions Private Limited,TAMIL NADU,Coimbatore,Manufacture of other rubber products n.e.c.,Ansell Protective Solutions Singapore Pte Ltd,Singapore,249.95,3.36,Received in the Company,
205,Ansell Sterile Solutions Private Limited,TAMIL NADU,Coimbatore,Manufacture of other,P.D. INTERNATIONAL PTY LTD,Australia,0.05,0.00,Received in,
,,,,rubber products n.e.c.,,,,,the Company,
206,ANSIO MARKETPLACE PRIVATE LIMITED,TAMIL NADU,Tiruvallur,Retail sale via e- commerce,"Ansio Limited, UK",United Kingdom,111.05,1.51,"Received in
the Company",
207,ANSIO MARKETPLACE PRIVATE LIMITED,TAMIL NADU,Tiruvallur,Retail sale via e- commerce,MORGAN AND ASHLEY INVESTMENT LIMITED,United Kingdom,8.75,0.12,Received in the Company,
208,Antfarm Business Incubator Private Limited,MAHARASHT RA,Mumbai,"Combined office administrative
service activities",Bay Capital Investments Limited,Mauritius,4.40,0.06,"Received in the
Company",
209,Antfarm Business Incubator Private Limited,MAHARASHT RA,Mumbai,Combined office administrative service activities,Bay Capital Investments Limited,Mauritius,53.26,0.72,Received in the Company,
210,Antfarm Business Incubator Private Limited,MAHARASHT RA,Mumbai,Combined office administrative service activities,Bay Capital Investments Limited,Mauritius,0.12,0.00,Received in the Company,
211,Antfarm Business Incubator Private Limited,MAHARASHT RA,Mumbai,Combined office administrative service activities,Bay Capital Investments Limited,Mauritius,1.50,0.02,Received in the Company,
212,Antfarm Business Incubator Private Limited,MAHARASHT RA,Mumbai,Combined office administrative service activities,Bay Capital Investments Limited,Mauritius,33.88,0.46,Received in the Company,
213,ANVESHAN FARM TECHNOLOGIES PRIVATE LIMITED,PUNJAB,Patiala,Retail sale via e- commerce,DSG CONSUMER PARTNERS III,Mauritius,18.11,0.24,Received in the Company,
214,ANVESHAN FARM TECHNOLOGIES PRIVATE LIMITED,PUNJAB,Patiala,Retail sale via e- commerce,DSG CONSUMER PARTNERS III,Mauritius,0.41,0.01,Received in the Company,
215,ANZA BUSINESS SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,Management consultancy activities,LOTTICO SOLUTIONS LIMITED,United Kingdom,0.55,0.01,Received in the Company,
216,APNATIME TECH PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Other information technology and
computer service activities n.e.c",APNA TIME INC.,U.S.A,613.58,8.34,Received in the Company,
217,APPDOC MEDICAL SERVICES PRIVATE LIMITED,HARYANA,Gurgaon,Other information service activities n.e.c.,DRS ON CALLS LLC,U.S.A,0.09,0.00,Received in the Company,
218,APPLYBOARD INDIA PRIVATE LIMITED,HARYANA,Gurgaon,EDUCATION,METI BASIRI,Canada,0.00,0.00,"Received in
the Company",
219,APPLYBOARD INDIA PRIVATE LIMITED,HARYANA,Gurgaon,EDUCATION,Applyboard Inc.,Canada,0.10,0.00,Received in the Company,
220,Apport Software Solutions Private Limited,MAHARASHT RA,Mumbai,Other information technology and,Beenext Emerging Asia Pte Ltd,Singapore,35.25,0.48,Received in the,
,,,,computer service activities n.e.c,,,,,Company,
221,Appveen Technologies Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Anuko LLC,U.S.A,30.00,0.40,Received in the Company,
222,Appveen Technologies Private Limited,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Palo Alto OpenS LLC,U.S.A,21.63,0.29,Received in the Company,
223,Aqgromalin Farmtech Services Private Limited,TAMIL NADU,Krishnagiri,"Other post harvest crop activities, n.e.c.",PRAKASH SELVARAJ,U.S.A,1.80,0.02,Received in the Company,
224,Aqgromalin Farmtech Services Private Limited,TAMIL NADU,Krishnagiri,"Other post harvest crop activities, n.e.c.",Manoj Kumar Thazhathuveettil Alikkal,UAE,0.50,0.01,"Received in the
Company",
