Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
541,Prestige Hyderabad Retail Ventures Private Limited,TELANGANA,Hyderabad,"Activities relating to alteration, addition, repair, maintenance carried out on own- account basis or on a fee or contract
basis",BREP Asia II Indian Holding Co IX (NQ) Pte. Ltd.,Singapore,"1,326.20",18.10,Received in the Company,
542,Prestige Hyderabad Retail Ventures Private Limited,TELANGANA,Hyderabad,"Activities relating to alteration, addition, repair, maintenance carried out on own- account basis or on a fee or contract basis",BREP Asia II Indian Holding Co IX (NQ) Pte. Ltd.,Singapore,228.80,3.12,Received in the Company,
543,Prestige Mangalore Retail Ventures Private Limited,KARNATAKA,Bengaluru,"Activities relating to alteration, addition, repair, maintenance carried out on own- account basis or on a fee or contract basis",BREP Asia II Indian Holding Co IX (NQ) Pte. Ltd.,Singapore,11.99,0.16,Received in the Company,
544,Prestige Mangalore Retail Ventures Private Limited,KARNATAKA,Bengaluru,"Activities relating to alteration, addition, repair, maintenance carried out on own- account basis or on a fee or contract
basis",BREP Asia II Indian Holding Co. IX (NQ) Pte. Ltd,Singapore,47.30,0.65,Received in the Company,
545,Prestige Mysore Retail Ventures Private Limited,KARNATAKA,Bengaluru,"Activities relating to alteration, addition, repair, maintenance carried out on own- account basis or on a fee or contract basis",BREP Asia II Indian Holding Co. IX (NQ) Pte. Ltd,Singapore,249.22,3.40,Received in the Company,
546,Prestige Mysore Retail Ventures Private Limited,KARNATAKA,Bengaluru,"Activities relating to alteration, addition, repair, maintenance carried out on own- account basis or on a fee or contract
basis",BREP Asia II Indian Holding Co IX (NQ) Pte. Ltd.,Singapore,617.65,8.40,Received in the Company,
547,"PRESTIGE SHANTINIKETAN LEISURES PRIVATE
LIMITED",KARNATAKA,Bengaluru,"Activities relating to alteration, addition, repair, maintenance carried out on own- account basis or on a fee or contract
basis",BREP Asia II Indian Holding Co. IX (NQ) Pte. Ltd.,Singapore,"1,446.00",19.74,Received in the Company,
548,PRESTIGE SHANTINIKETAN LEISURES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Activities relating to alteration, addition, repair, maintenance carried out on own- account basis or on a fee or contract basis",BREP ASIA II INDIAN HOLDING CO IX (NQ) PTE. LTD.,Singapore,411.80,5.62,Received in the Company,
549,Prime Focus Limited,MAHARASHTRA,Mumbai,Post production activities of motion picture,A2R Holdings,Mauritius,"1,396.90",19.07,"Received in the
Company",
550,Prime Focus Limited,MAHARASHTRA,Mumbai,Post production activities of motion picture,A2R Holdings,Mauritius,"3,236.10",44.17,"Received
in the Company",
551,Prismforce Private Limited,MAHARASHTRA,Mumbai,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",Prismforce Inc.,U.S.A,0.00,0.00,Received in the Company,
552,Prismforce Private Limited,MAHARASHTRA,Mumbai,"Writing, modifying, testing of computer program to meet the needs of a
particular client excluding web-page designing",Prismforce Inc.,U.S.A,0.01,0.00,Received in the Company,
553,Privi Speciality Chemicals Ltd(ForemerlyFairchem Speciality Limited),MAHARASHTRA,Thane,"Manufacture of essential oils; modification by chemical processes of oils and fats (e.g. by oxidation, polymerization etc.)",FIH Mauritius Investments Ltd,Mauritius,7.15,0.10,Received in the Company,
554,"PROCESS COMBUSTION TECHNOLOGIES INDIA
PRIVATE LIMITED",DELHI,South West Delhi,Architectural and engineering activities and related technical consultancy,PCC HOLDINGS LLC,U.S.A,0.10,0.00,Received in the Company,
555,PROMETHEAN SPENTA TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,THANE,Manufacture of machinery for the dairy industry,Promethean Power Systems Inc,U.S.A,1.25,0.02,Received in the Company,
556,PROSOFOS INDIA PRIVATE LIMITED,MAHARASHTRA,Nagpur,Other information technology and computer service activities n.e.c,PROSOFOS INC,Canada,0.10,0.00,Received in the Company,
557,PRYMER AI PRIVATE LIMITED,TELANGANA,Hyderabad,Publishing of operating systems and system software,BALLAD AI INC,U.S.A,0.43,0.01,"Received
in the Company",
558,QUADS FINANCIAL TECHNOLOGIES PRIVATE LIMITED,Telangana,Hyderabad,Management consultancy activities,"KRAB AI, INC.",U.S.A,0.13,0.00,Received in the Company,
559,QUESBA EDUTECH PRIVATE LIMITED,DELHI,East Delhi,Other information technology and computer service activities n.e.c,QUESBA INC.,U.S.A,0.02,0.00,"Received in the
Company",
560,R2V2 TECHNOLOGIES PRIVATE LIMITED,DELHI,Central Delhi,Electric power generation using solar energy,NIS Veriown Limited,British Virginia,0.10,0.00,Received in the Company,
561,Ramesh Flowers Private Limited,TAMIL NADU,Tuticorin,Manufacture of other articles n.e.c.,Gala Germany GmbH,Germany,0.00,0.00,Received in the Company,
562,RAS TEK PRIVATE LIMITED,MAHARASHTRA,Thane,"Repair and maintenance of engines and
turbines excluding aircraft, vehicle and cycle engines",Marine power international FNZ,UAE,64.70,0.88,"Received
in the Company",
563,RAS TURBO PRIVATE LIMITED,MAHARASHTRA,Thane,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing
gear, fuel tanks, nacelles, airscrews, he",Marine power international FNZ,UAE,0.30,0.00,Received in the Company,
564,RATTLE SOFTWARE PRIVATE LIMITED,HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,Rattle Software INC,U.S.A,0.01,0.00,Received in the Company,
565,RB Aero Development Services Private Limited,MAHARASHTRA,Pune,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",Richard Versluis,Netherland,0.00,0.00,Received in the Company,
566,R-BIOPHARM NEUGEN PRIVATE LIMITED,TELANGANA,Hyderabad,"Manufacture of various other chemical products n.e.c (antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing
or drawing ink, chemical substance used",R-Biopharm AG,Germany,18.59,0.25,Received in the Company,
,,,,in manufacturing of pe,,,,,,
567,R-BIOPHARM NEUGEN PRIVATE LIMITED,TELANGANA,Hyderabad,"Manufacture of various other chemical products n.e.c (antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing or drawing ink, chemical substance used
in manufacturing of pe",R-Biopharm AG,Germany,2.45,0.03,Received in the Company,
568,RED ROAD HEALTH SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other human health activities n.e.c. (including independent ambulance activities),ALEXANDRA AUGUSTIN,U.S.A,0.13,0.00,Received in the Company,
569,REDCLIFFE LIFETECH PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,Activities of independent diagnostic/pathological laboratories,REDCLIFFE LIFETECH INC,U.S.A,0.10,0.00,Received in the Company,
570,REDSEAL LABS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",REDSEAL INC,U.S.A,0.10,0.00,Received in the Company,
571,REDSEAL LABS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",SUBRAHMANYA BHAT NOMINEE OF REDSEAL INC,U.S.A,0.00,0.00,Received in the Company,
572,REEVOY INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other business support service activities n.e.c,REEVOY CAPITAL LIMITED,United Kingdom,0.05,0.00,Received in the Company,
573,REEVOY INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other business support service activities n.e.c,Reevoy Capital Limited,United Kingdom,0.05,0.00,"Received in the
Company",
574,"REPHRASE
TECHNOLOGIES PRIVATE LIMITED",KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Rephrase Technology Corp,U.S.A,0.01,0.00,"Received
in the Company",
575,RESILIENT INNOVATIONS PRIVATE LIMITED,DELHI,South Delhi,Other information technology and computer service activities n.e.c,Coatue PE Asia 27 LLC,U.S.A,730.42,9.93,Received in the Company,
576,"RESILIENT INNOVATIONS PRIVATE
LIMITED",DELHI,South Delhi,Other information technology and computer service activities n.e.c,SCI Investments VI,Mauritius,71.96,0.98,"Received in the
Company",
577,RHENUS PROJECT LOGISTICS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Cargo handling incidental to water transport,Fracht AG,Switzerland,19.71,0.27,Received in the Company,
578,"RHENUS PROJECT LOGISTICS PRIVATE
LIMITED",MAHARASHTRA,Mumbai,Cargo handling incidental to water transport,Fracht AG,Switzerland,19.71,0.27,"Received in the
Company",
579,RHEO AI SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Chennai,Other information technology and computer service activities n.e.c,Rheo AI LLC,U.S.A,0.21,0.00,"Received
in the Company",
580,Rising Sun Energy (K) Private Limited,KARNATAKA,Koppal,Electric power generation using solar energy,YR KARNATAKA PTE LTD,Singapore,0.08,0.00,Greenfield,
581,Rising Tide Education,DELHI,West Delhi,Management consultancy activities,Grok South East Asia SDN.,Malaysia,0.00,0.00,Received,
,India Private Limited,,,,BHD,,,,in the Company,
582,Rising Tide Education India Private Limited,DELHI,West Delhi,Management consultancy activities,GROK CHINA LLC,U.S.A,0.01,0.00,"Received
in the Company",
583,RITUAL INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,Fabl Labs Inc,U.S.A,0.10,0.00,Received in the Company,
584,"ROBLOX INDIA
SERVICES PRIVATE LIMITED",MAHARASHTRA,Thane,Other information technology and computer service activities n.e.c,Roblox Corporation,U.S.A,0.10,0.00,"Received
in the Company",
585,ROBOTIC WARES PRIVATE LIMITED,DELHI,South Delhi,Computer consultancy and computer facilities management activities,Eight Roads Ventures India III LP,Bermuda,50.29,0.69,Received in the Company,
586,ROBOTIC WARES PRIVATE LIMITED,DELHI,South Delhi,Computer consultancy and computer facilities management activities,EIGHT ROADS VENTURES INDIA III LP,Bermuda,5.03,0.07,"Received in the
Company",
587,ROBOTIC WARES PRIVATE LIMITED,DELHI,South Delhi,Computer consultancy and computer facilities management activities,EIGHT ROADS VENTURES INDIA III LP,Bermuda,17.45,0.24,"Received
in the Company",
588,ROBOTIC WARES PRIVATE LIMITED,DELHI,South Delhi,Computer consultancy and computer facilities management activities,EIGHT ROADS VENTURES INDIA III LP,Bermuda,17.45,0.24,Received in the Company,
589,ROBOTIC WARES PRIVATE LIMITED,DELHI,South Delhi,Computer consultancy and computer facilities management activities,EIGHT ROADS VENTURES INDIA III LP,Bermuda,17.45,0.24,"Received in the
Company",
590,ROBOTIC WARES PRIVATE LIMITED,DELHI,South Delhi,Computer consultancy and computer facilities management activities,EIGHT ROADS VENTURES INDIA III LP,Bermuda,17.45,0.24,Received in the Company,
591,Rudraksh Academy Private Limited,GUJARAT,Vadodara,"Higher education in medical/bio- technology and related courses leading
to a university degree or equivalent",KIRAN C PATEL,U.S.A,37.00,0.50,"Received in the
Company",
592,Ruetex Textile Private Limited,MAHARASHTRA,Mumbai,"Activities of commission agents dealing in wholesale trade in machinery and equipment, other than transport machinery",Ruetters Textil Gmbh,Germany,0.90,0.01,Received in the Company,
593,SADHAN ENTERPRISE I PRIVATE LIMITED,WEST BENGAL,North 24 Parganas,Management consultancy activities,Santosh Rao,Singapore,2.50,0.03,"Received in the
Company",
594,"SAFESEND
TECHNOLOGIES PRIVATE LIMITED",KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,Rahul Chandran(Nominee of cPaperless LLC),U.S.A,0.06,0.00,"Received
in the Company",
595,SAFEX CHEMICALS (INDIA) LIMITED,DELHI,North West Delhi,Manufacture of pesticides and other agrochemical products,RAGHUNATHAN HARIHARAN,Singapore,11.40,0.16,Received in the Company,
596,SAFEX CHEMICALS (INDIA) LIMITED,DELHI,North West Delhi,Manufacture of pesticides and other agrochemical products,SARCOLINE LIMITED,Mauritius,56.69,0.76,"Received in the
Company",
597,SAFEX CHEMICALS,DELHI,North West Delhi,Manufacture of pesticides and other,SARCOLINE LIMITED,Mauritius,51.14,0.69,Received,
,(INDIA) LIMITED,,,agrochemical products,,,,,in the Company,
598,SAFEX CHEMICALS (INDIA) LIMITED,DELHI,North West Delhi,Manufacture of pesticides and other agrochemical products,SARCOLINE LIMITED,Mauritius,39.93,0.54,"Received
in the Company",
599,SAHRUDAYA HEALTH CARE PRIVATE LIMITED,TELANGANA,Hyderabad,Hospital activities,ABC MEDICOVER HOLDINGS B. V.,Netherland,80.00,1.07,Received in the Company,
600,Sankalp Securities Private Limited,MAHARASHTRA,Mumbai,Activities auxiliary to financial service activities n.e.c.,Collectius 1 AG,Switzerland,2.49,0.03,"Received
in the Company",
601,SANUM-KEHLBECK INDIA PRIVATE LIMITED,HARYANA,Gurgaon,Activities of homeopaths,Sanum-Kehlbeck GmbH + Co. KG,Germany,0.01,0.00,Received in the Company,
602,"SBESS WIND PROJECTCO TWO
PRIVATE LIMITED",DELHI,South West Delhi,Electric power generation using solar energy,SBE Thirty Two Limited,United Kingdom,0.00,0.00,"Received in the
Company",
603,SECURETHINGS.AI PRIVATE LIMITED,MAHARASHTRA,Pune,Security systems service activities,SECURETHINGS U.S. INC,U.S.A,0.08,0.00,"Received
in the Company",
604,Seedworks International Private Limited,TELANGANA,Hyderabad,Seed processing for propagation,South Asia Growth Fund II Holdings LLC,U.S.A,334.33,4.49,Received in the Company,
605,"SERVICEBERRY TECHNOLOGIES
PRIVATE LIMITED",MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,ACCION LABS HOLDINGS INC.,U.S.A,84.97,1.16,"Received in the
Company",
606,Shabri Investments Private limited,KARNATAKA,Bengaluru,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Three Wheels United Inc,U.S.A,7.80,0.10,Received in the Company,
607,"SIBROS TECHNOLOGIES INDIA
PRIVATE LIMITED",DELHI,East Delhi,Providing software support and maintenance to the clients,"Sibros Technologies, Inc",U.S.A,0.05,0.00,"Received in the
Company",
608,SIGNAVIO INDIA PRIVATE LIMITED,HARYANA,Gurgaon,Providing software support and maintenance to the clients,Signavio GmbH,Germany,0.10,0.00,"Received
in the Company",
609,SIGNAVIO INDIA PRIVATE LIMITED,HARYANA,Gurgaon,Providing software support and maintenance to the clients,Signavio Schweiz GmbH,Switzerland,0.00,0.00,Received in the Company,
610,SiliconVeins Private Limited,MAHARASHTRA,Mumbai,"Other data processing, hosting and related activities n.e.c.","Kyte Technologies, INC",U.S.A,323.40,4.41,Received in the Company,
611,SiliconVeins Private Limited,MAHARASHTRA,Mumbai,"Other data processing, hosting and related activities n.e.c.","Kyte Technologies, INC",U.S.A,33.30,0.45,Received in the Company,
612,SILVEREDGE TECHNOLOGIES PRIVATE LIMITED,DELHI,New Delhi,Providing software support and maintenance to the clients,SilverPush Pte Ltd,Singapore,0.72,0.01,Received in the Company,
613,Sindicatum Carbon Capital India Private Limited,DELHI,South Delhi,"Other professional, scientific and technical activities n.e.c.",Sindicatum Captive Energy Singapore Pte. Limited,Singapore,0.30,0.00,Received in the,
,,,,,,,,,Company,
614,Sindicatum Carbon Capital India Private Limited,DELHI,South Delhi,"Other professional, scientific and technical activities n.e.c.",Sindicatum Captive Energy Singapore Pte. Limited,Singapore,0.29,0.00,Received in the Company,
615,SINDICATUM RENEWABLE ENERGY INDIA PRIVATE LIMITED,DELHI,South Delhi,Management consultancy activities,Sindicatum Captive Energy Singapore Pte. Limited,Singapore,114.20,1.56,Received in the Company,
616,SINDICATUM RENEWABLE ENERGY INDIA PRIVATE LIMITED,DELHI,South Delhi,Management consultancy activities,Sindicatum Captive Energy Singapore Pte. Limited,Singapore,24.50,0.33,Received in the Company,
617,SINDICATUM RENEWABLE ENERGY INDIA PRIVATE LIMITED,DELHI,South Delhi,Management consultancy activities,Sindicatum Captive Energy Singapore Pte. Limited,Singapore,204.50,2.79,Received in the Company,
618,SINGH HYDRAULICS PRIVATE LIMITED,HARYANA,Gurgaon,Manufacture of fluid power equipment,VIS HYDRAULICS S.R.L,Italy,0.01,0.00,Received in the Company,
619,"SIX SAILS TECHNOLOGIES INDIA
PRIVATE LIMITED",DELHI,North West Delhi,Other information technology and computer service activities n.e.c,PHARMA DATABASE LLC,U.S.A,0.05,0.00,"Received in the
Company",
620,SMARTBRIDGE EDUCATIONAL SERVICES PRIVATE LIMITED,TELANGANA,Hyderabad,EDUCATION,SMARTBRIDGE EDTECH INC,U.S.A,0.94,0.01,Received in the Company,
621,"SMOKESCREEN TECHNOLOGIES
PRIVATE LIMITED",MAHARASHTRA,Mumbai,Computer consultancy and computer facilities management activities,ZSCALER Inc,U.S.A,677.21,9.21,"Received in the
Company",
622,SMPL TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Mudrex Inc,U.S.A,0.01,0.00,Received in the Company,
623,SORION SOLAR PRIVATE LIMITED,MAHARASHTRA,Mumbai,Electric power generation using solar energy,Cleantech India OA Pte Ltd,Singapore,0.85,0.01,"Received in the
Company",
624,"SOUTHERN HEALTH
FOODS PRIVATE LIMITED",TAMIL NADU,Chennai,Flour milling,NHPEA SUMMER HOLDING B.V.,Netherland,54.65,0.73,"Received
in the Company",
625,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation, electromedical and electrotherapeutic equipment","nference, inc.",U.S.A,3.50,0.05,Received in the Company,
626,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation, electromedical and electrotherapeutic equipment","nference, inc.",U.S.A,1.53,0.02,Received in the Company,
627,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation, electromedical and electrotherapeutic equipment","nference, inc.",U.S.A,1.53,0.02,Received in the Company,
628,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation, electromedical and electrotherapeutic equipment","nference, inc.",U.S.A,4.33,0.06,Received in the Company,
629,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation, electromedical and electrotherapeutic","nference, inc.",U.S.A,4.33,0.06,Received in the,
,,,,equipment,,,,,Company,
630,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation, electromedical and electrotherapeutic equipment","nference, inc.",U.S.A,1.36,0.02,Received in the Company,
631,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation, electromedical and electrotherapeutic equipment","nference, inc.",U.S.A,4.29,0.06,Received in the Company,
632,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation, electromedical and electrotherapeutic equipment","nference, inc.",U.S.A,2.88,0.04,Received in the Company,
633,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation, electromedical and electrotherapeutic equipment","nference, inc.",U.S.A,5.27,0.07,Received in the Company,
634,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation, electromedical and electrotherapeutic equipment","nference, inc.",U.S.A,8.79,0.12,Received in the Company,
635,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation, electromedical and electrotherapeutic
equipment","nference, inc.",U.S.A,0.02,0.00,"Received in the
Company",
636,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation, electromedical and electrotherapeutic equipment","nference, inc.",U.S.A,0.69,0.01,Received in the Company,
637,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation, electromedical and electrotherapeutic equipment","nference, inc.",U.S.A,0.69,0.01,Received in the Company,
638,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation,
electromedical and electrotherapeutic equipment","nference, inc.",U.S.A,2.36,0.03,"Received
in the Company",
639,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation, electromedical and electrotherapeutic equipment","nference, inc.",U.S.A,1.77,0.02,Received in the Company,
640,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation, electromedical and electrotherapeutic
equipment","nference, inc.",U.S.A,1.77,0.02,"Received in the
Company",
641,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation, electromedical and electrotherapeutic equipment","nference, inc.",U.S.A,1.77,0.02,Received in the Company,
642,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation, electromedical and electrotherapeutic equipment","nference, inc.",U.S.A,1.32,0.02,Received in the Company,
643,Spectral Insights Private Limited,KARNATAKA,Bengaluru,"Manufacture of irradiation,
electromedical and electrotherapeutic equipment","nference, inc.",U.S.A,0.86,0.01,"Received
in the Company",
644,Sporta Technologies Private Limited,MAHARASHTRA,Mumbai,Other amusement and recreation activities n.e.c.,Dream Sports Inc,U.S.A,496.72,6.67,Received in the Company,
645,Sporta Technologies Private Limited,MAHARASHTRA,Mumbai,Other amusement and recreation activities n.e.c.,Dream Sports Inc,U.S.A,455.58,6.22,"Received in the
Company",
646,Sporta Technologies Private Limited,MAHARASHTRA,Mumbai,Other amusement and recreation activities n.e.c.,Dream Sports Inc,U.S.A,224.12,3.06,"Received
in the Company",
647,Spraoi Software Development Services Private Limited,KARNATAKA,Bengaluru,"Other data processing, hosting and related activities n.e.c.",Digin Technologies LLC,U.S.A,2.60,0.04,Received in the Company,
648,SQUAD CAR JASOOS PRIVATE LIMITED,MAHARASHTRA,Raigarh(MH),"Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an easily
searchable format",BHAVNA TANDON,United Kingdom,0.01,0.00,Received in the Company,
649,SQUAD CAR JASOOS PRIVATE LIMITED,MAHARASHTRA,Raigarh(MH),"Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an easily
searchable format",ANGEL KANSAGRA,United Kingdom,0.18,0.00,Received in the Company,
650,SQUIRREL SOFTWARE LABS PRIVATE LIMITED,TAMIL NADU,Coimbatore,Other information technology and computer service activities n.e.c,"RevenueHero, Inc",U.S.A,0.05,0.00,Received in the Company,
651,Stepathlon Lifestyle Private Limited,MAHARASHTRA,Mumbai,"Other human health activities n.e.c.
(including independent ambulance activities)",Matthew Luke Twomey,Australia,0.09,0.00,"Received
in the Company",
652,Stoughton Street Tech Labs Private Limited,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,LOCO INRERACTIVE PTE LTD,Singapore,0.10,0.00,Received in the Company,
653,STRIVE FOR CALLS PRIVATE LIMITED,TAMIL NADU,Chennai,Other business support service activities n.e.c,ANITA TEIG,U.S.A,0.13,0.00,"Received in the
Company",
654,STRIVE FOR CALLS PRIVATE LIMITED,TAMIL NADU,Chennai,Other business support service activities n.e.c,ALAN G TEIG,U.S.A,0.03,0.00,"Received
in the Company",
655,STRIVE FOR CALLS PRIVATE LIMITED,TAMIL NADU,Chennai,Other business support service activities n.e.c,ANITA TEIG,U.S.A,0.17,0.00,Received in the Company,
656,"STRONGSUN RENEWABLES PRIVATE
LIMITED",MAHARASHTRA,Mumbai,Electric power generation using solar energy,CLEANTECH INDIA OA PTE. LTD,Singapore,0.80,0.01,Greenfield,
657,SUMMIT MEDICAL MANAGEMENT PRIVATE LIMITED,KARNATAKA,Bengaluru,Combined office administrative service activities,Farah A Shaikh,U.S.A,0.01,0.00,Received in the Company,
658,"SUMMIT MEDICAL MANAGEMENT PRIVATE
LIMITED",KARNATAKA,Bengaluru,Combined office administrative service activities,Dr Adnan Anwar Shaikh,U.S.A,0.01,0.00,"Received in the
Company",
659,Sunshine Teahouse Private Limited,DELHI,South West Delhi,"Cafeterias, fast-food restaurants and other food preparation in market stalls",SAIF PARTNERS INDIA VI LIMITED,Mauritius,4.02,0.05,"Received
in the Company",
660,Sunstrength Solar Private Limited,MAHARASHTRA,Mumbai,Electric power generation using solar energy,CLEANTECH INDIA OA PTE. LTD,Singapore,0.80,0.01,Greenfield,
661,SUPERMARKET,KARNATAKA,Bengaluru,Other non-specialised wholesale trade,ABRAAJ BASKET I,Mauritius,309.93,4.21,Received,
,GROCERY SUPPLIES PRIVATE LIMITED,,,n.e.c.,PRIVATE LIMITED,,,,in the Company,
662,SWITCH MOBILITY AUTOMOTIVE LIMITED,TAMIL NADU,Chennai,"Manufacture of commercial vehicles
such as vans, lorries, over-the-road tractors for semi-trailers etc.",SWITCH MOBILITY LIMITED,United Kingdom,0.05,0.00,"Received
in the Company",
663,System Ceramics India Private Limited,GUJARAT,Ahmedabad,"Manufacture of paints and varnishes, enamels or lacquers",Tosilab SPA,Italy,0.00,0.00,Received in the Company,
664,"TALENTQUEST
SOLUTIONS PRIVATE LIMITED",KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,TALENTQUEST LLC,U.S.A,1.93,0.03,"Received
in the Company",
665,Tapaz Info Parks Private Limited,MAHARASHTRA,Mumbai,"Other data processing, hosting and related activities n.e.c.",Tapaz Info Parks Holdings Pte. Ltd.,Singapore,0.10,0.00,Received in the Company,
666,TASKING INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Tasking B.V.,Netherland,0.01,0.00,"Received in the
Company",
667,TASKING INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Tasking B.V.,Netherland,0.00,0.00,"Received
in the Company",
668,TASKING INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Tasking Germany GmbH,Germany,0.00,0.00,Received in the Company,
669,Tavisca Solutions Private Limited,MAHARASHTRA,Pune,"Other data processing, hosting and related activities n.e.c.","CxLoyalty Group, Inc. (Formerly known as
Affinion Group Inc.)",U.S.A,68.62,0.92,"Received in the
Company",
670,Tavisca Solutions Private Limited,MAHARASHTRA,Pune,"Other data processing, hosting and related activities n.e.c.","CxLoyalty Group, Inc. (formerly known as Affinion Group Inc.)",U.S.A,68.62,0.92,Received in the Company,
671,TECH INNOVATIONS TECHNOLOGIES PRIVATE LIMITED,KERALA,Ernakulam,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",RCG IT Corp,U.S.A,1.65,0.02,Received in the Company,
672,TECH INNOVATIONS TECHNOLOGIES PRIVATE LIMITED,KERALA,Ernakulam,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",RCG IT Corp.,U.S.A,1.65,0.02,Received in the Company,
673,TECH INNOVATIONS TECHNOLOGIES PRIVATE LIMITED,KERALA,Ernakulam,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",RCG IT CORP.,U.S.A,7.38,0.10,Received in the Company,
674,Techlavender Technology And Healthcare Consulting Private Limited,ANDHRA PRADESH,Chittoor,Computer consultancy and computer facilities management activities,ZEST CONSULTING LLC,U.S.A,0.05,0.00,Received in the Company,
675,Tenerity India Private Limited,MAHARASHTRA,Pune,"Other data processing, hosting and related activities n.e.c.","CxLoyalty Group, Inc. (Formerly known as Affinion Group Inc.)",U.S.A,68.62,0.93,Received in the Company,
676,TERRAPAY SOLUTIONS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Terra Payment Services (Netherlands) B.V.,Netherland,0.05,0.00,Received in the,
,,,,,,,,,Company,
677,Tessolve Semiconductor Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",NT Thor Pte Ltd,Singapore,45.81,0.63,Received in the Company,
678,Tessolve Semiconductor Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",N T Thor Pte Ltd,Singapore,11.76,0.16,Received in the Company,
679,Tessolve Semiconductor Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",NT Thor Pte. Ltd.,Singapore,371.50,5.05,Received in the Company,
680,TETHERFI TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Dakshina Kannada,"Other data processing, hosting and related activities n.e.c.",TETHERFI PTE. LTD.,Singapore,10.64,0.15,Received in the Company,
